Blog	four	here	music	until	want	how	re	service	released	than	release	best	and	much	life	things	had	easy	has	right	old	people	sure	for	support	happy	time	team	along	love	working	such	so	years	internet	one	open	city	future	say	take	going	where	many	s	photos	being	around	world	power	her	with	an	as	at	to	small	past	full	social	more	its	always	found	really	number	set	see	last	read	couple	d	continue	be	by	into	line	up	us	ago	video	let	great	makes	next	this	high	doing	could	start	should	means	stuff	email	ve	site	off	less	web	five	does	announced	work	far	after	then	them	they	another	what	do	away	we	the	night	post	months	way	was	update	together	market	live	can	still	not	year	looking	that	online	only	between	comes	these	media	real	early	using	t	your	lot	you	since	month	very	a	help	actually	issue	put	latest	pretty	during	x	won	probably	both	else	look	while	game	some	doesn	go	facebook	started	hands	times	need	based	course	she	party	i	well	twitter	home	he	even	new	ever	never	call	before	better	used	isn	don	m	bad	said	against	three	is	it	in	if	make	left	just	yet	down	finally	did	run	making	may	man	talk	nbsp	thing	think	first	little	were	show	enough	get	reading	those	same	money	important	u	got	public	two	coming	through	good	hard	least	part	most	find	simple	create	yesterday	apple	big	bit	google	often	back	ll	day	have	thought	add	like	about	buy	but	under	every	street	would	phone	me	my	keep	end	over	each	free	days	already	top	too	though	however	news	been	everything	why	check	no	today	local	information	turn	any	later	state	come	week	without	when	seems	blog	on	of	or	everyone	there	all	list	might	feel	story	kind	his	him	are	recently	know	also	long	called	once	app	use	from	few	women	something	looks	our	out	their	which	who	will	gets	now	other	because	getting	own	made	book	june
blog maverick	0	0	0	0	1	1	0	0	0	0	0	0	9	1	0	1	1	1	1	1	0	1	0	4	0	0	3	0	0	0	0	0	1	0	3	1	0	0	3	1	0	1	0	0	1	0	2	0	1	0	0	2	1	3	2	16	1	0	0	0	0	5	0	0	0	0	0	1	1	0	0	0	0	4	1	0	0	1	2	0	2	0	0	0	0	8	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	2	35	0	1	0	0	3	0	0	4	0	3	0	8	0	0	4	0	0	0	0	0	1	0	0	0	8	6	2	16	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	4	0	0	0	3	0	0	0	0	17	0	0	0	0	0	0	3	0	0	0	1	1	1	4	2	0	0	0	0	12	8	10	1	1	0	2	0	0	0	0	0	1	1	0	0	0	0	6	1	0	1	0	0	3	0	0	0	7	3	0	1	0	0	2	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	7	0	4	0	3	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	0	0	2	0	0	0	0	0	2	0	1	4	15	5	2	2	2	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	4	0	0	0	0	0
NewsBusters.org - Exposing Liberal Media Bias	1	0	0	0	1	0	0	0	0	0	0	0	11	1	0	1	6	0	4	1	0	1	0	5	1	0	0	0	2	0	0	0	3	0	0	0	1	0	0	3	0	1	0	1	11	0	0	0	1	0	0	1	3	4	7	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0	2	0	0	0	0	1	0	0	4	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	2	0	1	0	0	0	36	0	0	0	1	10	0	0	0	0	0	1	5	1	0	13	0	0	1	0	0	0	0	0	0	4	1	0	3	0	0	4	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	2	7	0	0	0	13	0	1	1	1	1	1	0	0	0	0	1	0	8	1	0	5	5	16	2	0	1	0	0	1	0	1	3	0	0	3	0	5	0	0	0	0	1	1	0	2	0	0	0	1	0	1	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	2	3	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	7	1	0	0	0	5	2	0	0	0	1	0	0	0	0	0	5	0	0	8	26	1	0	2	3	0	0	0	0	0	10	6	0	0	0	0	0	2	1	0	1	2	1	0	0	0	0	2	1	4	1	2	0	1	0	0	0	0	1	1	1
Search Engine Watch - Latest	0	5	0	0	0	5	1	1	0	1	0	0	23	0	1	2	0	2	7	0	0	1	1	9	0	0	3	0	0	0	0	0	1	0	2	3	1	0	0	0	1	1	0	0	14	0	1	0	0	0	0	7	2	3	2	34	1	0	0	8	5	3	0	0	1	1	0	1	0	0	0	0	0	3	4	4	0	3	0	0	1	0	0	0	0	4	2	0	2	0	1	0	0	0	0	2	0	1	1	1	1	2	2	0	1	1	0	0	0	9	2	0	0	26	0	0	1	3	2	3	0	1	0	3	0	1	1	0	9	2	3	0	0	2	4	2	0	2	5	16	0	8	1	0	0	25	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	5	0	0	1	2	1	0	0	0	0	1	0	0	0	0	7	1	0	2	2	0	0	2	0	0	0	0	0	1	4	4	11	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	4	0	0	0	0	0	3	0	12	0	0	0	1	0	0	0	0	1	1	4	0	1	3	2	0	0	0	0	1	2	0	0	1	0	1	0	1	0	2	0	0	1	0	1	1	1	1	3	3	0	0	0	0	0	3	0	0	11	21	0	0	0	5	0	0	0	0	0	1	0	7	0	1	0	0	0	2	1	0	4	2	0	0	0	0	1	3	1	1	3	0	1	1	0	0	0	0	0	0
Autoblog	2	6	0	2	0	7	5	3	2	8	2	0	74	3	0	3	2	0	21	1	2	0	0	75	0	1	5	2	1	0	3	4	6	2	1	11	0	2	3	1	2	0	5	5	48	1	4	3	6	3	0	41	21	28	26	111	0	0	10	0	13	22	0	2	1	2	3	26	3	0	1	1	10	23	17	13	3	18	5	0	10	1	1	0	0	36	3	1	9	4	0	2	0	21	5	0	7	3	0	2	3	2	1	1	4	0	3	6	4	7	2	0	23	272	2	1	2	5	5	0	1	4	3	10	1	10	5	3	35	5	2	0	2	1	1	4	1	1	13	6	0	10	1	1	1	109	2	1	0	1	6	0	0	6	4	2	4	2	6	9	0	4	1	1	0	0	1	1	2	3	3	1	0	1	9	1	0	3	4	23	2	0	2	1	0	10	0	4	0	0	3	5	4	35	26	69	11	0	0	8	1	9	1	0	3	1	7	2	0	80	0	0	5	0	1	8	2	3	11	6	2	3	3	6	0	0	4	1	3	6	0	1	5	2	3	0	0	0	7	4	4	4	1	4	1	1	11	0	3	5	8	4	15	23	1	0	2	0	0	0	0	5	3	0	6	0	3	5	2	6	2	4	4	0	1	4	3	0	0	3	7	1	1	5	0	1	2	2	0	0	80	105	9	0	6	13	10	1	1	1	1	5	0	6	3	1	6	2	0	0	0	21	21	2	0	2	0	29	11	6	7	5	24	6	5	9	0	2	4	2	0	0
Daily Kos	5	24	2	5	19	29	14	0	6	27	2	5	425	26	5	25	35	2	73	15	5	40	18	220	8	2	46	2	4	6	6	4	48	18	0	42	8	4	2	26	10	11	17	13	294	0	9	8	8	4	18	97	60	95	85	536	4	10	8	4	75	17	9	9	13	7	4	19	22	8	2	42	3	98	83	12	1	31	26	5	6	15	16	3	4	122	4	6	12	4	11	11	4	4	24	2	17	9	3	5	12	1	27	10	19	19	37	85	14	58	31	3	99	1031	7	17	4	17	93	0	2	7	3	41	12	91	23	4	335	1	24	10	3	14	6	7	5	0	113	20	9	104	11	4	14	397	7	17	10	18	3	4	16	0	7	5	12	3	8	24	2	27	17	15	1	4	1	5	18	5	13	18	17	134	16	3	4	103	40	25	10	9	3	15	12	3	10	23	18	11	43	27	9	198	186	345	51	18	11	37	9	23	4	17	7	15	19	1	7	11	14	17	20	5	40	4	8	16	1	32	6	13	5	9	12	23	19	5	4	21	12	8	14	18	2	2	2	3	0	11	4	1	6	21	15	16	101	8	2	38	69	2	95	13	11	7	55	2	14	21	7	11	25	11	2	7	12	9	11	13	4	18	32	3	13	2	30	34	11	5	2	25	3	41	4	21	11	42	8	0	165	493	58	3	46	48	7	9	3	3	7	82	22	84	3	16	28	11	6	10	0	6	60	11	4	14	4	33	53	44	45	65	44	6	25	23	34	3	11	24	0	6
Google Blogoscoped	0	2	0	0	2	5	5	6	0	1	2	4	40	4	0	1	3	1	1	1	0	3	0	16	0	0	4	0	0	2	2	0	7	1	0	13	2	0	1	0	1	2	1	0	15	0	0	2	1	0	0	6	5	12	7	36	1	2	2	0	4	1	2	0	0	5	1	4	0	2	0	2	0	4	4	3	0	3	1	1	0	2	0	1	1	7	0	2	1	1	0	0	1	0	4	4	0	1	4	3	0	0	1	0	0	3	4	7	2	6	3	0	12	71	0	2	0	1	6	0	1	1	1	10	0	5	0	0	13	1	2	0	1	1	0	0	0	4	11	8	0	36	0	0	1	43	0	2	0	1	0	0	0	1	0	2	2	2	1	1	2	3	0	1	0	0	0	1	2	1	0	0	0	18	2	0	1	2	4	8	0	1	0	0	0	2	1	4	2	0	2	0	0	10	14	23	8	3	1	6	1	1	0	1	1	0	1	0	0	0	1	0	2	0	1	1	0	5	1	3	1	0	0	0	0	0	3	0	1	0	0	0	0	3	3	1	1	1	0	0	0	28	1	3	6	3	5	0	3	6	9	0	10	0	1	2	11	4	4	7	0	0	1	3	2	0	1	1	2	3	0	1	4	0	0	0	6	1	0	0	0	3	2	0	1	0	0	4	0	1	17	34	7	0	5	5	1	0	1	0	0	1	0	6	0	2	2	1	1	1	4	3	7	1	0	2	0	3	2	4	5	5	1	0	4	4	5	0	0	2	0	0
Deadspin	2	5	0	1	3	2	4	0	1	5	1	9	60	0	0	0	5	1	11	2	1	4	0	33	2	0	4	8	1	1	0	0	2	3	1	6	2	2	0	0	2	3	1	1	47	2	1	2	2	2	0	8	16	10	22	49	0	2	0	0	43	1	0	3	7	0	2	2	8	1	0	4	0	9	7	4	0	7	5	3	13	0	1	0	1	10	0	2	1	0	2	0	2	1	1	0	4	1	0	1	0	0	0	0	6	1	0	10	1	7	0	0	11	150	7	0	2	0	14	0	2	0	1	6	3	3	2	1	17	0	6	2	1	0	0	0	1	0	8	7	1	15	2	1	1	63	1	3	0	2	0	1	1	0	2	0	1	1	2	0	6	6	1	0	0	0	2	0	1	1	1	0	0	4	3	1	0	12	4	0	4	3	1	2	8	2	2	0	3	0	4	2	1	14	16	31	2	1	2	5	0	2	1	2	2	2	5	1	0	37	0	0	9	1	0	0	0	0	0	2	0	1	0	1	5	0	12	0	7	1	0	1	0	1	1	1	0	0	0	1	0	0	1	3	3	1	11	1	0	3	4	1	11	2	2	1	4	0	2	1	0	3	5	1	0	3	2	0	3	1	0	0	7	0	2	0	3	5	0	0	0	0	1	7	1	4	0	6	0	0	19	51	3	1	6	13	0	3	0	0	0	12	1	11	0	6	1	0	1	1	0	0	8	1	1	2	3	3	6	3	3	9	2	1	3	2	5	0	1	3	1	0
kottke.org	3	16	1	4	1	13	10	2	0	6	0	5	119	4	4	3	18	1	13	5	4	16	2	48	4	1	11	4	1	3	1	1	11	4	8	21	1	3	4	5	1	4	4	7	66	3	3	1	5	2	12	33	14	16	26	112	2	4	0	4	10	4	0	4	6	0	1	7	7	2	2	2	0	21	27	8	0	11	7	1	12	0	6	2	1	37	4	1	6	3	4	0	1	2	13	3	2	1	2	0	3	0	4	2	5	9	14	19	5	12	8	4	30	254	1	7	1	6	33	7	2	1	0	20	4	16	4	0	55	2	8	0	3	11	3	4	5	3	30	7	9	34	1	4	12	137	0	1	5	0	0	4	2	0	1	1	1	2	2	3	9	11	3	2	4	2	2	9	2	2	0	10	1	53	5	0	1	15	5	16	7	5	2	3	1	2	3	9	2	3	3	2	2	41	38	86	11	7	0	10	1	3	2	2	1	1	3	5	3	136	4	2	6	2	16	2	2	9	1	4	4	3	1	2	2	1	4	1	3	1	5	1	0	1	7	3	4	2	3	0	1	0	2	3	3	4	19	2	0	19	20	1	32	3	7	2	14	1	4	12	2	4	7	0	2	1	1	1	8	2	0	2	13	2	3	1	8	0	1	5	0	8	1	2	1	0	0	7	2	1	29	140	18	1	20	10	7	5	0	7	4	4	2	27	2	7	8	4	3	4	2	2	31	4	3	4	0	6	19	16	10	20	2	2	6	9	10	0	1	7	3	0
Gawker	2	1	3	1	2	4	0	1	4	0	2	5	26	0	2	4	2	0	10	0	3	3	0	20	0	0	2	0	0	1	0	0	4	1	2	3	1	0	0	1	1	1	2	1	34	2	3	1	4	1	4	17	5	4	9	26	1	1	0	1	39	5	0	0	4	0	0	0	6	1	0	0	0	4	9	2	2	2	2	1	9	0	1	2	2	10	0	0	0	0	1	0	0	0	0	2	1	0	0	1	1	2	0	0	1	0	2	2	1	2	4	0	3	74	3	3	0	1	6	1	0	0	1	3	4	10	6	1	20	0	3	1	0	2	0	1	0	1	3	4	0	5	1	1	0	47	1	1	0	0	2	0	1	0	2	0	2	1	1	3	0	3	1	0	3	0	2	1	0	0	1	4	2	3	1	2	0	13	2	8	1	0	0	1	0	1	1	0	1	2	0	2	0	22	8	29	1	1	0	1	1	1	1	3	0	0	0	4	0	38	2	0	3	2	2	0	0	1	0	0	2	2	1	0	0	1	5	0	0	3	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	2	9	0	0	5	7	0	9	0	1	3	1	0	1	1	0	1	0	0	0	1	1	0	1	1	0	2	7	0	2	1	3	3	0	0	0	0	0	0	2	1	0	2	0	0	9	40	3	2	4	7	0	0	0	0	0	9	1	14	2	1	2	4	0	0	0	0	5	1	2	0	0	1	6	3	2	6	4	0	2	1	2	0	0	0	0	0
TUAW - The Unofficial Apple Weblog	1	9	10	3	11	9	17	3	7	19	7	8	311	10	0	8	10	6	50	11	4	11	3	229	19	2	14	1	2	3	4	4	25	4	1	28	4	1	2	6	8	4	10	10	160	10	3	13	5	3	0	89	68	101	70	362	4	7	6	6	32	37	3	5	10	6	5	59	10	4	7	11	2	60	35	27	3	39	12	1	2	6	7	14	11	115	6	2	7	2	7	5	1	44	12	14	10	5	15	4	15	8	13	6	10	10	15	24	10	19	14	8	34	744	0	17	5	7	49	24	1	4	8	57	10	56	13	5	165	8	21	5	6	13	2	1	8	10	68	35	9	98	1	3	12	280	7	4	6	5	1	3	6	20	10	6	17	3	10	9	10	28	10	6	12	3	0	3	9	5	8	1	5	106	25	4	3	1	11	78	4	6	1	11	8	7	7	14	9	1	4	5	6	125	154	162	34	15	4	21	10	6	5	10	2	1	13	1	0	240	4	8	19	8	19	2	8	25	3	14	16	5	3	0	7	4	14	3	20	8	5	4	11	18	6	2	1	11	175	6	9	28	3	10	15	6	37	1	6	39	31	5	63	0	5	6	11	5	16	35	6	5	19	5	21	2	9	2	11	9	14	2	15	5	8	2	10	17	3	6	18	17	5	2	5	6	8	19	5	0	210	295	71	2	32	46	15	9	4	2	2	4	0	52	0	6	30	6	1	6	92	59	65	17	0	10	5	48	36	18	39	21	55	5	30	16	10	4	7	8	1	7
Lifehacker	3	7	6	0	7	15	17	5	3	1	1	7	69	5	0	4	1	2	4	4	0	4	1	28	1	0	9	0	2	1	2	0	4	0	4	9	1	0	0	0	0	4	1	4	46	0	0	1	2	2	1	15	10	15	11	93	1	0	0	0	52	7	1	0	0	1	0	2	3	1	2	0	0	12	4	10	1	10	2	1	10	1	7	1	2	12	2	2	1	2	3	5	4	0	1	1	5	1	4	2	0	4	3	1	1	5	3	4	3	9	6	2	12	90	1	1	2	7	3	2	1	0	1	21	5	2	0	2	22	0	2	2	0	1	0	0	1	3	10	51	5	87	1	1	0	79	3	2	0	6	0	3	0	3	0	0	1	3	3	2	0	5	1	2	2	2	0	2	5	6	0	0	1	4	1	10	5	2	1	18	0	1	2	2	3	2	3	3	1	0	0	1	2	21	43	24	22	8	0	7	3	2	0	0	0	0	2	0	1	40	0	0	3	6	4	0	1	10	0	2	1	6	3	0	3	0	0	3	2	2	1	0	0	5	6	6	2	0	5	1	1	2	1	4	6	7	7	3	2	9	6	3	14	0	1	0	1	2	0	2	8	1	2	1	3	1	3	3	2	1	2	1	0	2	1	1	5	6	0	3	6	7	0	0	1	3	2	13	2	2	34	40	12	2	4	10	0	2	2	0	0	6	1	9	1	6	3	4	1	1	14	3	16	5	0	2	0	1	15	9	10	5	5	5	6	6	3	2	10	0	0	1
Gizmodo	0	3	3	0	4	8	9	0	0	4	0	3	37	1	1	1	1	1	6	0	2	2	3	14	1	0	3	0	2	3	1	1	5	3	2	9	0	2	0	0	0	2	1	1	33	2	1	0	1	0	0	9	4	8	12	44	1	0	1	2	45	6	1	0	4	0	1	2	1	0	0	0	0	17	10	5	0	9	3	1	8	0	2	2	3	21	0	0	2	0	2	1	3	1	4	0	3	2	0	0	2	0	4	1	2	2	3	9	0	8	4	1	9	84	0	0	1	2	5	2	0	0	1	9	4	5	2	1	30	0	3	1	0	5	1	2	0	2	14	18	1	58	0	0	3	69	0	2	0	2	1	2	0	3	3	4	0	0	3	0	0	5	2	0	0	0	1	1	3	0	1	0	0	3	3	9	1	3	3	15	1	2	0	0	0	4	1	7	0	1	1	0	1	24	34	27	8	1	1	10	0	4	1	0	0	1	2	4	0	37	1	2	4	5	2	0	2	1	0	0	2	0	0	0	4	1	1	1	0	3	1	1	0	2	1	0	1	2	15	2	0	1	1	1	3	4	5	1	0	8	3	2	19	2	0	1	0	3	0	2	0	0	4	1	1	0	2	2	2	1	1	0	2	1	2	1	2	4	0	0	4	0	0	0	1	1	1	3	0	0	15	36	2	0	8	6	1	6	0	2	1	1	0	18	1	5	1	0	1	2	6	2	8	1	0	1	4	1	7	0	4	7	7	0	2	2	6	0	0	1	0	0
Steve Pavlina's Personal Development Blog	0	2	0	0	2	3	2	0	0	0	0	2	12	1	0	0	0	0	0	0	0	3	0	6	0	0	2	1	0	0	1	2	3	1	0	3	0	0	0	0	0	1	0	0	6	0	1	0	0	0	0	5	2	3	0	26	0	0	0	2	1	0	0	0	0	1	0	0	1	1	0	1	2	2	2	1	0	3	0	1	0	3	0	0	1	6	1	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	1	3	0	2	2	0	4	16	0	1	0	2	0	0	0	0	0	5	1	2	0	0	10	2	0	0	1	0	0	4	0	0	4	8	0	23	0	0	2	13	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	5	1	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	12	8	6	4	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	2	0	0	1	0	0	1	1	0	0	1	3	1	3	0	1	2	3	1	1	0	0	0	1	0	0	1	2	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	12	2	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	4	0	0	0	0	1	3	4	0	1	1	0	1	0	1	0	2	0	0	0
Oilman	0	0	0	0	1	3	2	0	0	0	0	0	17	3	1	0	2	0	2	0	1	4	0	3	0	0	1	0	0	2	0	0	4	1	0	2	0	0	0	0	1	0	0	2	8	0	1	1	0	0	0	0	0	3	2	15	0	2	0	0	2	0	0	0	5	0	1	3	1	0	2	0	0	2	5	1	0	4	0	1	0	1	0	2	0	3	1	0	1	0	0	1	0	0	2	2	1	0	0	0	0	0	1	1	0	0	0	1	0	3	0	0	5	21	0	2	2	1	1	0	0	0	0	1	0	2	1	0	6	2	1	0	1	0	0	0	0	1	3	0	1	4	0	1	0	13	0	1	0	1	0	0	0	2	0	0	1	1	0	0	0	3	2	0	0	1	0	0	2	0	0	0	0	24	2	4	0	0	1	3	0	1	0	0	0	0	0	1	1	0	0	0	0	6	17	9	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	4	0	0	2	3	0	2	0	1	0	2	0	5	6	0	0	1	0	0	2	2	0	4	0	0	1	2	1	3	0	1	2	0	0	0	1	0	0	0	1	0	1	2	2	5	9	2	0	0	1	0	2	0	1	0	0	0	1	1	2	1	0	1	0	0	1	2	1	0	0	0	1	1	1	0	0	0	0	3	0	0	1	1	0	0	0
TMZ.com	0	2	0	1	0	1	1	0	0	0	0	0	17	0	3	1	1	0	9	1	2	0	0	11	0	0	3	0	0	0	0	0	2	1	0	2	4	1	0	0	0	0	0	0	15	0	0	0	0	0	4	6	3	4	9	21	0	0	0	0	2	0	0	0	0	0	0	3	4	0	1	1	0	2	1	1	0	1	4	0	0	1	1	1	0	5	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	5	0	1	2	1	1	1	1	3	49	2	0	2	0	7	0	2	0	1	0	0	1	3	0	1	0	0	0	0	1	0	3	0	0	3	2	0	2	0	1	0	24	0	0	0	0	0	0	0	3	2	0	1	1	0	1	0	2	0	1	0	0	0	0	0	0	0	6	3	2	0	0	1	5	0	6	0	0	3	2	1	1	0	0	1	3	0	1	0	5	5	19	2	0	0	1	0	0	2	1	0	0	1	1	0	0	2	0	0	0	2	2	0	2	0	1	2	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	4	0	0	1	0	2	3	1	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	2	0	1	2	0	0	1	1	0	0	1	0	1	0	0	12	14	5	0	1	3	0	1	0	1	0	14	1	2	0	1	0	2	2	0	0	0	5	0	0	2	1	1	9	1	1	4	0	0	3	0	0	2	1	2	0	0
Wired Top Stories	0	2	0	1	1	6	2	1	1	2	0	2	34	0	0	0	2	0	3	1	2	0	2	24	0	0	1	3	0	0	1	1	2	1	2	6	2	1	1	1	1	2	0	2	29	0	1	0	1	1	0	11	10	7	6	37	1	0	2	2	5	3	0	0	0	1	0	1	1	1	0	0	0	8	6	5	0	5	4	0	2	0	3	1	0	5	3	1	1	0	0	0	0	0	1	2	3	0	2	1	2	0	0	2	0	1	3	5	1	3	3	2	7	67	0	0	0	1	5	0	0	0	0	4	0	1	3	1	20	1	0	1	0	1	2	0	0	0	5	9	0	12	0	1	1	31	3	1	0	0	0	0	1	3	0	1	0	1	2	0	5	2	0	2	0	0	1	1	0	0	0	0	3	3	0	0	2	0	0	11	1	0	0	1	0	1	1	3	0	1	0	0	1	12	8	25	2	1	0	2	0	0	0	0	1	2	2	4	0	0	1	0	3	0	0	4	2	4	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	1	3	0	1	1	2	1	0	4	1	2	2	2	6	0	0	4	4	0	6	0	2	0	2	0	0	1	1	3	3	0	0	0	0	0	2	0	0	1	1	0	3	1	1	2	0	2	0	0	0	1	0	1	1	4	0	0	18	31	2	0	0	3	0	0	0	0	0	4	2	9	0	1	1	0	2	0	0	1	6	0	0	2	1	8	5	4	4	4	2	1	3	4	0	0	6	4	2	2
